iter	RMSE
0	57502.51163
1	56946.53665
2	56399.05624
3	55985.90713
4	55453.2602
5	54896.74895
6	54359.13315
7	53874.81744
8	53391.13434
9	52968.80128
10	52659.13899
11	52225.19999
12	51856.46658
13	51590.84605
14	51238.15838
15	50909.25106
16	50569.565
17	50243.34746
18	49917.47892
19	49556.63732
20	49275.11804
21	49050.36033
22	48719.7521
23	48442.16369
24	48203.95708
25	47992.35564
26	47702.71565
27	47509.47645
28	47254.16216
29	47120.084
30	46869.18059
31	46655.35365
32	46433.46861
33	46178.82613
34	45966.68611
35	45782.14658
36	45590.71847
37	45405.49664
38	45278.67177
39	45057.80293
40	44935.05004
41	44738.46386
42	44572.87018
43	44349.27331
44	44199.14466
45	44044.92296
46	43887.55473
47	43736.13065
48	43620.71127
49	43501.00681
50	43307.23843
51	43205.07711
52	43065.27474
53	42954.89618
54	42856.55998
55	42748.51998
56	42639.9481
57	42496.71765
58	42375.51213
59	42259.79438
60	42197.36878
61	42131.15185
62	42037.79249
63	41927.29178
64	41860.20825
65	41794.3387
66	41708.70959
67	41655.22749
68	41530.27889
69	41420.68051
70	41336.79265
71	41276.2676
72	41240.04776
73	41164.52094
74	41090.84431
75	41031.68514
76	40956.94725
77	40929.79704
78	40870.19689
79	40769.94863
80	40658.29312
81	40579.01957
82	40532.47078
83	40482.41275
84	40334.17157
85	40261.50576
86	40225.90775
87	40195.14959
88	40190.65089
89	40142.67002
90	40059.82598
91	40007.44538
92	39967.47949
93	39911.30202
94	39855.90989
95	39837.07667
96	39786.50979
97	39670.35177
98	39623.59379
99	39613.27507
100	39530.69966
101	39530.65775
102	39479.49422
103	39411.25432
104	39383.76801
105	39343.80195
106	39337.17287
107	39196.74819
108	39148.82138
109	39110.64477
110	39076.11077
111	39024.57321
112	38978.75746
113	38931.67027
114	38901.38791
115	38879.97862
116	38830.91566
117	38815.04842
118	38785.82008
119	38752.53733
120	38673.19568
121	38650.37082
122	38582.75354
123	38582.72295
124	38525.00237
125	38408.49952
126	38372.46211
127	38341.34718
128	38289.45381
129	38263.0892
130	38217.4716
131	38181.13959
132	38116.65053
133	38061.77626
134	38023.83784
135	38002.20019
136	37995.56285
137	37964.80054
138	37961.64474
139	37927.56119
140	37905.53118
141	37867.76868
142	37829.51985
143	37772.25168
144	37731.48996
145	37692.14081
146	37650.98445
147	37631.94155
148	37591.26399
149	37523.60318
150	37517.60208
151	37453.40503
152	37407.51909
153	37363.42307
154	37330.82359
155	37303.99209
156	37301.08396
157	37224.20125
158	37205.12792
159	37152.51888
160	37122.04626
161	37075.31608
162	37056.91293
163	37018.68516
164	36980.70355
165	36933.52492
166	36907.18856
167	36867.81526
168	36831.79241
169	36806.01429
170	36739.93137
171	36704.72061
172	36666.87481
173	36631.83407
174	36600.09419
175	36561.49157
176	36529.16086
177	36511.20154
178	36476.98683
179	36470.75713
180	36417.80074
181	36384.67742
182	36342.85898
183	36342.85466
184	36286.56042
185	36258.60523
186	36204.31677
187	36175.24901
188	36136.68925
189	36100.50343
190	36029.41842
191	35999.86186
192	35979.80869
193	35937.40023
194	35910.65603
195	35887.86445
196	35858.56224
197	35817.17297
198	35782.63397
199	35748.25439
200	35739.91378
201	35715.90035
202	35702.31979
203	35666.48529
204	35606.58806
205	35584.26804
206	35584.26721
207	35548.84288
208	35515.97343
209	35475.86922
210	35447.01403
211	35420.86644
212	35405.92045
213	35348.52793
214	35321.20732
215	35303.05151
216	35242.8906
217	35215.81242
218	35189.19217
219	35160.06662
220	35133.47581
221	35093.83828
222	35071.64462
223	35040.30944
224	35000.49032
225	34961.84407
226	34938.85916
227	34886.98623
228	34867.33474
229	34840.24796
230	34817.53715
231	34792.37605
232	34776.39351
233	34763.13732
234	34737.00059
235	34706.62229
236	34679.6731
237	34648.39579
238	34614.05931
239	34582.99718
240	34554.11118
241	34538.80977
242	34506.98569
243	34474.20882
244	34452.35652
245	34426.80382
246	34401.0051
247	34384.92683
248	34359.58084
249	34305.39623
250	34292.53491
251	34271.72119
252	34252.08097
253	34195.22976
254	34175.4941
255	34158.57987
256	34110.54028
257	34085.31431
258	34054.78505
259	34013.19963
260	33992.50294
261	33958.67775
262	33922.62687
263	33893.3135
264	33875.07324
265	33841.58753
266	33817.03697
267	33774.12027
268	33737.20022
269	33690.51351
270	33682.43045
271	33658.30091
272	33640.72596
273	33614.17795
274	33590.67121
275	33575.61829
276	33567.79159
277	33554.41613
278	33526.55522
279	33516.7023
280	33493.59341
281	33478.76298
282	33464.05596
283	33435.07854
284	33407.09458
285	33383.3498
286	33360.28116
287	33342.78467
288	33320.68069
289	33305.47117
290	33273.65974
291	33245.31299
292	33234.22175
293	33193.52764
294	33176.09874
295	33164.85459
296	33113.15608
297	33096.89345
298	33075.91224
299	33049.06794
300	33026.39264
301	33016.40022
302	32994.09086
303	32975.34201
304	32961.99855
305	32941.85651
306	32915.86664
307	32905.00942
308	32877.51449
309	32860.66742
310	32836.67561
311	32814.28052
312	32761.58749
313	32740.40269
314	32719.38517
315	32679.78512
316	32659.50915
317	32619.27942
318	32583.6036
319	32543.99059
320	32508.24845
321	32490.10609
322	32476.86068
323	32459.70004
324	32436.90715
325	32427.85583
326	32392.37338
327	32373.72467
328	32354.21655
329	32325.41166
330	32295.59969
331	32257.7543
332	32226.5672
333	32217.99153
334	32182.19727
335	32159.16452
336	32148.89532
337	32115.15008
338	32104.44867
339	32085.10438
340	32052.90974
341	32035.26204
342	31990.084
343	31947.20304
344	31935.70793
345	31919.29087
346	31897.12391
347	31889.38878
348	31857.83297
349	31817.11091
350	31794.18603
351	31768.3126
352	31715.72717
