iter	Passed	Remaining
0	157	125925
1	162	64893
2	177	47092
3	181	36124
4	195	31043
5	208	27617
6	221	25041
7	234	23229
8	247	21778
9	261	20652
10	265	19061
11	280	18389
12	293	17795
13	300	16898
14	313	16414
15	326	16004
16	339	15649
17	354	15384
18	367	15106
19	380	14847
20	389	14440
21	404	14307
22	421	14222
23	436	14108
24	452	14015
25	467	13903
26	481	13785
27	498	13738
28	513	13658
29	521	13392
30	536	13306
31	552	13262
32	568	13214
33	584	13165
34	602	13178
35	618	13124
36	633	13073
37	652	13081
38	666	13006
39	679	12911
40	693	12844
41	708	12793
42	722	12721
43	735	12641
44	749	12579
45	763	12510
46	776	12442
47	789	12374
48	803	12314
49	812	12194
50	827	12151
51	841	12098
52	855	12051
53	868	11999
54	881	11940
55	894	11887
56	908	11842
57	924	11831
58	939	11795
59	952	11752
60	966	11709
61	980	11666
62	993	11627
63	1007	11586
64	1022	11560
65	1037	11541
66	1052	11514
67	1065	11470
68	1078	11425
69	1091	11378
70	1105	11349
71	1118	11310
72	1131	11271
73	1147	11259
74	1161	11223
75	1173	11183
76	1188	11156
77	1202	11127
78	1215	11089
79	1228	11057
80	1242	11027
81	1256	11003
82	1271	10986
83	1285	10959
84	1299	10932
85	1312	10895
86	1326	10869
87	1336	10811
88	1341	10715
89	1355	10697
90	1369	10668
91	1382	10641
92	1396	10614
93	1409	10584
94	1422	10559
95	1427	10466
96	1441	10443
97	1454	10416
98	1469	10407
99	1481	10367
100	1494	10341
101	1497	10244
102	1510	10221
103	1524	10204
104	1532	10140
105	1545	10120
106	1557	10086
107	1572	10076
108	1585	10053
109	1595	10007
110	1609	9990
111	1620	9957
112	1634	9937
113	1648	9919
114	1661	9897
115	1670	9851
116	1684	9835
117	1699	9820
118	1708	9775
119	1719	9743
120	1732	9723
121	1747	9708
122	1760	9689
123	1764	9620
124	1778	9605
125	1794	9598
126	1808	9582
127	1822	9565
128	1836	9552
129	1847	9524
130	1861	9506
131	1874	9488
132	1889	9476
133	1903	9460
134	1917	9444
135	1931	9428
136	1936	9371
137	1951	9360
138	1955	9301
139	1969	9283
140	1978	9245
141	1992	9233
142	2007	9224
143	2022	9212
144	2036	9199
145	2045	9163
146	2059	9147
147	2072	9128
148	2086	9114
149	2100	9100
150	2108	9063
151	2122	9046
152	2136	9034
153	2150	9021
154	2164	9005
155	2177	8989
156	2182	8939
157	2196	8925
158	2204	8888
159	2218	8873
160	2231	8856
161	2244	8840
162	2255	8816
163	2268	8798
164	2282	8783
165	2296	8771
166	2310	8757
167	2324	8743
168	2337	8728
169	2350	8711
170	2364	8696
171	2377	8680
172	2391	8666
173	2404	8651
174	2419	8639
175	2433	8628
176	2446	8612
177	2459	8595
178	2473	8580
179	2477	8533
180	2491	8520
181	2504	8503
182	2517	8488
183	2525	8453
184	2539	8441
185	2553	8428
186	2567	8415
187	2581	8402
188	2594	8387
189	2608	8373
190	2623	8364
191	2637	8353
192	2650	8337
193	2664	8322
194	2677	8307
195	2691	8293
196	2705	8280
197	2719	8268
198	2733	8254
199	2748	8245
200	2760	8225
201	2773	8210
202	2782	8183
203	2796	8170
204	2809	8155
205	2822	8138
206	2827	8099
207	2841	8086
208	2855	8073
209	2868	8059
210	2881	8044
211	2895	8030
212	2908	8016
213	2922	8002
214	2936	7988
215	2949	7975
216	2964	7964
217	2978	7952
218	2993	7940
219	3006	7926
220	3019	7911
221	3033	7897
222	3046	7881
223	3060	7870
224	3074	7857
225	3087	7842
226	3101	7828
227	3114	7813
228	3128	7801
229	3142	7786
230	3155	7772
231	3169	7760
232	3183	7747
233	3196	7732
234	3210	7717
235	3222	7702
236	3236	7687
237	3249	7673
238	3264	7662
239	3279	7651
240	3292	7637
241	3304	7618
242	3317	7604
243	3331	7591
244	3345	7577
245	3358	7563
246	3371	7549
247	3387	7538
248	3401	7526
249	3414	7512
250	3428	7497
251	3441	7483
252	3456	7474
253	3476	7472
254	3489	7458
255	3502	7443
256	3515	7428
257	3529	7414
258	3545	7404
259	3559	7392
260	3573	7378
261	3587	7367
262	3601	7352
263	3614	7338
264	3627	7324
265	3641	7309
